position,gene,ID,type,start,end,strand,strain,central_gene,core_status,isolate_count
3,agaC,9d38f563c3a26fdef9221ebcd767f53a_6702,CDS,3284685,3285488,+,MG1655,agaA,non_core,10
4,agaD,9d38f563c3a26fdef9221ebcd767f53a_6704,CDS,3285478,3286269,+,MG1655,agaA,non_core,4
5,agaI,9d38f563c3a26fdef9221ebcd767f53a_6706,CDS,3286270,3287025,+,MG1655,agaA,core,44
6,yraH,9d38f563c3a26fdef9221ebcd767f53a_6708,CDS,3287426,3288010,+,MG1655,agaA,non_core,11
7,yraI,9d38f563c3a26fdef9221ebcd767f53a_6710,CDS,3288090,3288785,+,MG1655,agaA,non_core,11
8,yraJ,9d38f563c3a26fdef9221ebcd767f53a_6712,CDS,3288814,3291330,+,MG1655,agaA,non_core,11
9,yraK,9d38f563c3a26fdef9221ebcd767f53a_6714,CDS,3291341,3292432,+,MG1655,agaA,non_core,11
-9,yhaB,9d38f563c3a26fdef9221ebcd767f53a_6667,CDS,3267854,3268393,+,MG1655,agaC_2,non_core,19
-8,yhaC,9d38f563c3a26fdef9221ebcd767f53a_6669,CDS,3268415,3269602,+,MG1655,agaC_2,non_core,10
-7,garK,9d38f563c3a26fdef9221ebcd767f53a_6674,CDS,3270625,3271770,-,MG1655,agaC_2,core,44
-6,garR,9d38f563c3a26fdef9221ebcd767f53a_6676,CDS,3271867,3272751,-,MG1655,agaC_2,core,44
-5,garL,9d38f563c3a26fdef9221ebcd767f53a_6678,CDS,3272787,3273557,-,MG1655,agaC_2,core,44
-4,garP,9d38f563c3a26fdef9221ebcd767f53a_6680,CDS,3273573,3274907,-,MG1655,agaC_2,core,44
-3,garD,9d38f563c3a26fdef9221ebcd767f53a_6682,CDS,3275282,3276853,+,MG1655,agaC_2,core,44
-2,prlF,9d38f563c3a26fdef9221ebcd767f53a_6684,CDS,3277002,3277337,+,MG1655,agaC_2,non_core,38
-1,yhaV,9d38f563c3a26fdef9221ebcd767f53a_6686,CDS,3277337,3277801,+,MG1655,agaC_2,non_core,38
0,agaR,9d38f563c3a26fdef9221ebcd767f53a_6688,CDS,3277856,3278665,-,MG1655,agaC_2,soft_core,42
1,kbaZ,9d38f563c3a26fdef9221ebcd767f53a_6690,CDS,3278914,3280194,+,MG1655,agaC_2,core,44
2,agaV,9d38f563c3a26fdef9221ebcd767f53a_6692,CDS,3280217,3280690,+,MG1655,agaC_2,core,44
3,agaS,9d38f563c3a26fdef9221ebcd767f53a_6696,CDS,3281976,3283130,+,MG1655,agaC_2,core,44
4,kbaY,9d38f563c3a26fdef9221ebcd767f53a_6698,CDS,3283143,3284003,+,MG1655,agaC_2,core,44
5,agaB,9d38f563c3a26fdef9221ebcd767f53a_6700,CDS,3284170,3284646,+,MG1655,agaC_2,non_core,3
6,agaC,9d38f563c3a26fdef9221ebcd767f53a_6702,CDS,3284685,3285488,+,MG1655,agaC_2,non_core,10
7,agaD,9d38f563c3a26fdef9221ebcd767f53a_6704,CDS,3285478,3286269,+,MG1655,agaC_2,non_core,4
8,agaI,9d38f563c3a26fdef9221ebcd767f53a_6706,CDS,3286270,3287025,+,MG1655,agaC_2,core,44
9,yraH,9d38f563c3a26fdef9221ebcd767f53a_6708,CDS,3287426,3288010,+,MG1655,agaC_2,non_core,11
-9,purE,ECOR6_03154,CDS,5386,5895,+,ECOR6_PROKKA,allC,core,44
-8,purK,ECOR6_03155,CDS,5892,6959,+,ECOR6_PROKKA,allC,core,44
-7,arcC2_2,ECOR6_03156,CDS,7154,8047,-,ECOR6_PROKKA,allC,core,44
-6,,ECOR6_03157,CDS,8044,8859,-,ECOR6_PROKKA,allC,core,44
-5,,ECOR6_03158,CDS,8870,10129,-,ECOR6_PROKKA,allC,soft_core,43
-4,fdrA_2,ECOR6_03159,CDS,10139,11563,-,ECOR6_PROKKA,allC,soft_core,43
-3,fdrA_3,ECOR6_03160,CDS,11570,11806,-,ECOR6_PROKKA,allC,non_core,2
-2,allD,ECOR6_03161,CDS,12123,13172,+,ECOR6_PROKKA,allC,core,44
-1,allC,ECOR6_03162,CDS,13194,14429,+,ECOR6_PROKKA,allC,non_core,2
0,allE,ECOR6_03163,CDS,14440,15225,+,ECOR6_PROKKA,allC,core,44
1,glxK,ECOR6_03164,CDS,15453,16598,-,ECOR6_PROKKA,allC,core,44
2,ybbY,ECOR6_03165,CDS,16620,17921,-,ECOR6_PROKKA,allC,core,44
3,allB,ECOR6_03166,CDS,17978,19339,-,ECOR6_PROKKA,allC,non_core,4
4,ybbW_1,ECOR6_03167,CDS,19399,19755,-,ECOR6_PROKKA,allC,non_core,3
5,ybbW_2,ECOR6_03168,CDS,19762,20853,-,ECOR6_PROKKA,allC,soft_core,42
6,glxR,ECOR6_03169,CDS,21022,21900,-,ECOR6_PROKKA,allC,core,44
7,hyi,ECOR6_03170,CDS,22000,22776,-,ECOR6_PROKKA,allC,core,44
8,gcl,ECOR6_03171,CDS,22789,24570,-,ECOR6_PROKKA,allC,core,44
9,allR,ECOR6_03172,CDS,24660,25475,-,ECOR6_PROKKA,allC,core,44
-9,chbR,2b84de5415a5ca9477dbe99a5510e5bf_3991,CDS,1983189,1984031,-,CFT073,astA,core,44
-8,chbA,2b84de5415a5ca9477dbe99a5510e5bf_3993,CDS,1984039,1984389,-,CFT073,astA,core,44
-7,chbC,2b84de5415a5ca9477dbe99a5510e5bf_3995,CDS,1984440,1985798,-,CFT073,astA,core,44
-6,chbB,2b84de5415a5ca9477dbe99a5510e5bf_3997,CDS,1985883,1986203,-,CFT073,astA,core,44
-5,osmE,2b84de5415a5ca9477dbe99a5510e5bf_3999,CDS,1986503,1986841,-,CFT073,astA,core,44
-4,nadE,2b84de5415a5ca9477dbe99a5510e5bf_4001,CDS,1987043,1987870,+,CFT073,astA,core,44
-3,cho,2b84de5415a5ca9477dbe99a5510e5bf_4003,CDS,1988100,1988987,+,CFT073,astA,core,44
-2,ves,2b84de5415a5ca9477dbe99a5510e5bf_4005,CDS,1988947,1989522,-,CFT073,astA,core,44
-1,spy,2b84de5415a5ca9477dbe99a5510e5bf_4007,CDS,1989725,1990210,-,CFT073,astA,core,44
0,astE,2b84de5415a5ca9477dbe99a5510e5bf_4009,CDS,1990540,1991508,-,CFT073,astA,core,44
1,astB,2b84de5415a5ca9477dbe99a5510e5bf_4011,CDS,1991501,1992844,-,CFT073,astA,core,44
2,astD,2b84de5415a5ca9477dbe99a5510e5bf_4013,CDS,1992841,1994319,-,CFT073,astA,core,44
3,astA,2b84de5415a5ca9477dbe99a5510e5bf_4015,CDS,1994316,1995350,-,CFT073,astA,unknown,
4,astC,2b84de5415a5ca9477dbe99a5510e5bf_4017,CDS,1995347,1996567,-,CFT073,astA,core,44
5,xthA,2b84de5415a5ca9477dbe99a5510e5bf_4019,CDS,1997013,1997819,+,CFT073,astA,core,44
6,ydjX,2b84de5415a5ca9477dbe99a5510e5bf_4021,CDS,1997986,1998696,+,CFT073,astA,core,44
7,ydjY,2b84de5415a5ca9477dbe99a5510e5bf_4023,CDS,1998701,1999378,+,CFT073,astA,core,44
8,ydjZ,2b84de5415a5ca9477dbe99a5510e5bf_4025,CDS,1999392,2000099,+,CFT073,astA,soft_core,43
9,ynjA,2b84de5415a5ca9477dbe99a5510e5bf_4027,CDS,2000099,2000647,+,CFT073,astA,soft_core,43
-9,yjjW,ECOR53_03143,CDS,253219,253923,+,ECOR53_PROKKA,bglJ,core,44
-8,yjjV,ECOR53_03144,CDS,254140,254919,-,ECOR53_PROKKA,bglJ,core,44
-7,,ECOR53_03145,CDS,254916,255989,-,ECOR53_PROKKA,bglJ,non_core,1
-6,,ECOR53_03146,CDS,256113,256274,-,ECOR53_PROKKA,bglJ,core,44
-5,osmY_1,ECOR53_03147,CDS,256401,257006,-,ECOR53_PROKKA,bglJ,core,44
-4,prfC,ECOR53_03148,CDS,257408,259024,-,ECOR53_PROKKA,bglJ,core,44
-3,yjjG,ECOR53_03149,CDS,259088,259765,-,ECOR53_PROKKA,bglJ,core,44
-2,rimI,ECOR53_03150,CDS,259780,260226,-,ECOR53_PROKKA,bglJ,core,44
-1,holD,ECOR53_03151,CDS,260195,260608,-,ECOR53_PROKKA,bglJ,non_core,1
0,rsmC,ECOR53_03152,CDS,260711,261742,+,ECOR53_PROKKA,bglJ,core,44
1,,ECOR53_03156,CDS,262413,262649,-,ECOR53_PROKKA,bglJ,non_core,1
2,fhuF,ECOR53_03157,CDS,262790,263575,+,ECOR53_PROKKA,bglJ,non_core,1
3,bglJ,ECOR53_03158,CDS,263612,264289,-,ECOR53_PROKKA,bglJ,non_core,1
4,yjjQ,ECOR53_03159,CDS,264247,264972,-,ECOR53_PROKKA,bglJ,non_core,39
5,yjjP,ECOR53_03160,CDS,265600,266370,+,ECOR53_PROKKA,bglJ,core,44
6,,ECOR53_03161,CDS,266361,266834,+,ECOR53_PROKKA,bglJ,core,44
7,dnaT,ECOR53_03162,CDS,266941,267480,+,ECOR53_PROKKA,bglJ,core,44
8,dnaC,ECOR53_03163,CDS,267483,268220,+,ECOR53_PROKKA,bglJ,core,44
9,,ECOR53_03164,CDS,268269,268763,+,ECOR53_PROKKA,bglJ,non_core,1
-9,fkpB,ECOR4_02879,CDS,12477,12926,+,ECOR4_PROKKA,caiB,core,44
-8,ispH,ECOR4_02880,CDS,12928,13878,+,ECOR4_PROKKA,caiB,core,44
-7,rihC,ECOR4_02881,CDS,13944,14858,+,ECOR4_PROKKA,caiB,non_core,35
-6,dapB,ECOR4_02882,CDS,15025,15846,+,ECOR4_PROKKA,caiB,core,44
-5,carA,ECOR4_02883,CDS,16302,17450,+,ECOR4_PROKKA,caiB,core,44
-4,carB,ECOR4_02884,CDS,17468,20689,+,ECOR4_PROKKA,caiB,core,44
-3,,ECOR4_02885,CDS,20951,21346,+,ECOR4_PROKKA,caiB,core,44
-2,yrdA_2,ECOR4_02886,CDS,21555,22145,-,ECOR4_PROKKA,caiB,core,44
-1,caiD,ECOR4_02887,CDS,22151,22936,-,ECOR4_PROKKA,caiB,core,44
0,caiC,ECOR4_02888,CDS,23045,24598,-,ECOR4_PROKKA,caiB,core,44
1,caiB,ECOR4_02889,CDS,24672,25889,-,ECOR4_PROKKA,caiB,non_core,2
2,caiA_1,ECOR4_02890,CDS,26018,27160,-,ECOR4_PROKKA,caiB,core,44
3,caiT_1,ECOR4_02891,CDS,27191,28531,-,ECOR4_PROKKA,caiB,core,44
4,entD,ECOR4_02892,CDS,256,999,-,ECOR4_PROKKA,caiB,non_core,26
5,fepA,ECOR4_02893,CDS,1051,3291,-,ECOR4_PROKKA,caiB,core,44
6,fes,ECOR4_02894,CDS,3534,4736,+,ECOR4_PROKKA,caiB,core,44
7,ybdZ,ECOR4_02895,CDS,4739,4957,+,ECOR4_PROKKA,caiB,core,44
8,entF,ECOR4_02896,CDS,4954,8835,+,ECOR4_PROKKA,caiB,core,44
9,fepE,ECOR4_02897,CDS,9051,10184,+,ECOR4_PROKKA,caiB,non_core,23
-9,radA,ECOR60_00900,CDS,71700,73082,+,ECOR60_PROKKA,creC,core,44
-8,nadR,ECOR60_00901,CDS,73103,74335,+,ECOR60_PROKKA,creC,core,44
-7,higB-2,ECOR60_00902,CDS,74427,74759,+,ECOR60_PROKKA,creC,non_core,20
-6,higA-2,ECOR60_00903,CDS,74761,75045,+,ECOR60_PROKKA,creC,non_core,20
-5,ettA,ECOR60_00904,CDS,75101,76768,-,ECOR60_PROKKA,creC,core,44
-4,slt,ECOR60_00905,CDS,76975,78912,+,ECOR60_PROKKA,creC,core,44
-3,trpR,ECOR60_00906,CDS,79032,79328,+,ECOR60_PROKKA,creC,core,44
-2,yjjX,ECOR60_00907,CDS,79401,79928,-,ECOR60_PROKKA,creC,core,44
-1,pspB_1,ECOR60_00908,CDS,79980,80627,+,ECOR60_PROKKA,creC,core,44
0,rob_1,ECOR60_00909,CDS,80624,81493,-,ECOR60_PROKKA,creC,core,44
1,,ECOR60_00910,CDS,81704,82177,+,ECOR60_PROKKA,creC,core,44
2,creB,ECOR60_00911,CDS,82190,82879,+,ECOR60_PROKKA,creC,core,44
3,creC,ECOR60_00912,CDS,82879,84144,+,ECOR60_PROKKA,creC,non_core,1
4,creD,ECOR60_00913,CDS,84202,85554,+,ECOR60_PROKKA,creC,core,44
5,arcA_1,ECOR60_00914,CDS,85614,86330,-,ECOR60_PROKKA,creC,core,44
6,trmH_1,ECOR60_00915,CDS,86966,87652,+,ECOR60_PROKKA,creC,core,44
7,thrA,ECOR60_00916,CDS,88012,90474,+,ECOR60_PROKKA,creC,core,44
8,thrB,ECOR60_00917,CDS,90476,91408,+,ECOR60_PROKKA,creC,core,44
9,thrC,ECOR60_00918,CDS,91409,92695,+,ECOR60_PROKKA,creC,core,44
-9,chpS,9d38f563c3a26fdef9221ebcd767f53a_9037,CDS,4448447,4448698,+,MG1655,cybC,non_core,11
-8,chpB,9d38f563c3a26fdef9221ebcd767f53a_9039,CDS,4448692,4449042,+,MG1655,cybC,non_core,11
-7,ppa,9d38f563c3a26fdef9221ebcd767f53a_9041,CDS,4449122,4449652,-,MG1655,cybC,core,44
-6,ytfQ,9d38f563c3a26fdef9221ebcd767f53a_9043,CDS,4449962,4450918,+,MG1655,cybC,core,44
-5,ytfR,9d38f563c3a26fdef9221ebcd767f53a_9045,CDS,4451058,4452560,+,MG1655,cybC,core,44
-4,ytfT,9d38f563c3a26fdef9221ebcd767f53a_9047,CDS,4452571,4453596,+,MG1655,cybC,core,44
-3,yjfF,9d38f563c3a26fdef9221ebcd767f53a_9049,CDS,4453583,4454578,+,MG1655,cybC,core,44
-2,fbp,9d38f563c3a26fdef9221ebcd767f53a_9051,CDS,4454611,4455609,-,MG1655,cybC,core,44
-1,mpl,9d38f563c3a26fdef9221ebcd767f53a_9053,CDS,4455785,4457158,+,MG1655,cybC,core,44
0,yjgA,9d38f563c3a26fdef9221ebcd767f53a_9055,CDS,4457314,4457865,-,MG1655,cybC,core,44
1,tldE,9d38f563c3a26fdef9221ebcd767f53a_9057,CDS,4457959,4459311,+,MG1655,cybC,core,44
2,nrdG,9d38f563c3a26fdef9221ebcd767f53a_9060,CDS,4459900,4460364,-,MG1655,cybC,core,44
3,nrdD,9d38f563c3a26fdef9221ebcd767f53a_9062,CDS,4460522,4462660,-,MG1655,cybC,core,44
4,treC,9d38f563c3a26fdef9221ebcd767f53a_9064,CDS,4463054,4464709,-,MG1655,cybC,soft_core,43
5,treB,9d38f563c3a26fdef9221ebcd767f53a_9066,CDS,4464759,4466180,-,MG1655,cybC,core,44
6,treR,9d38f563c3a26fdef9221ebcd767f53a_9068,CDS,4466299,4467246,-,MG1655,cybC,core,44
7,mgtL,9d38f563c3a26fdef9221ebcd767f53a_9070,CDS,4467431,4467484,+,MG1655,cybC,non_core,13
8,mgtA,9d38f563c3a26fdef9221ebcd767f53a_9072,CDS,4467625,4470321,+,MG1655,cybC,core,44
9,ridA,9d38f563c3a26fdef9221ebcd767f53a_9074,CDS,4470527,4470913,-,MG1655,cybC,core,44
-9,pitB,a99aee7d8774ee1318b35b64abeb3eab_6203,CDS,3133528,3135027,-,W3110,dLH,soft_core,43
-8,gss,a99aee7d8774ee1318b35b64abeb3eab_6205,CDS,3135319,3137178,-,W3110,dLH,core,44
-7,yghU,a99aee7d8774ee1318b35b64abeb3eab_6207,CDS,3137383,3138249,+,W3110,dLH,core,44
-6,hybG,a99aee7d8774ee1318b35b64abeb3eab_6209,CDS,3138372,3138620,-,W3110,dLH,core,44
-5,hypA,a99aee7d8774ee1318b35b64abeb3eab_6211,CDS,3138633,3138974,-,W3110,dLH,core,44
-4,hybE,a99aee7d8774ee1318b35b64abeb3eab_6213,CDS,3138967,3139455,-,W3110,dLH,core,44
-3,hybD,a99aee7d8774ee1318b35b64abeb3eab_6215,CDS,3139448,3139942,-,W3110,dLH,core,44
-2,hybC,a99aee7d8774ee1318b35b64abeb3eab_6217,CDS,3139942,3141645,-,W3110,dLH,core,44
-1,hybB,a99aee7d8774ee1318b35b64abeb3eab_6219,CDS,3141642,3142820,-,W3110,dLH,core,44
0,hybA,a99aee7d8774ee1318b35b64abeb3eab_6221,CDS,3142810,3143796,-,W3110,dLH,core,44
1,hybO,a99aee7d8774ee1318b35b64abeb3eab_6223,CDS,3143799,3144917,-,W3110,dLH,core,44
2,yghW,a99aee7d8774ee1318b35b64abeb3eab_6225,CDS,3145106,3145393,-,W3110,dLH,core,44
3,,a99aee7d8774ee1318b35b64abeb3eab_6227,CDS,3145512,3146396,-,W3110,dLH,unknown,
4,gpr,a99aee7d8774ee1318b35b64abeb3eab_6229,CDS,3146553,3147593,+,W3110,dLH,core,44
5,yqhA,a99aee7d8774ee1318b35b64abeb3eab_6231,CDS,3147633,3148127,-,W3110,dLH,core,44
6,yghA,a99aee7d8774ee1318b35b64abeb3eab_6233,CDS,3148318,3149202,+,W3110,dLH,core,44
7,exbD,a99aee7d8774ee1318b35b64abeb3eab_6235,CDS,3149474,3149899,-,W3110,dLH,core,44
8,exbB,a99aee7d8774ee1318b35b64abeb3eab_6237,CDS,3149906,3150640,-,W3110,dLH,core,44
9,metC,a99aee7d8774ee1318b35b64abeb3eab_6239,CDS,3150892,3152079,+,W3110,dLH,core,44
-9,ghoS,a99aee7d8774ee1318b35b64abeb3eab_8569,CDS,4357262,4357558,+,W3110,dcuA,core,44
-8,ghoT,a99aee7d8774ee1318b35b64abeb3eab_8571,CDS,4357586,4357759,+,W3110,dcuA,soft_core,43
-7,lysS,a99aee7d8774ee1318b35b64abeb3eab_8573,CDS,4357878,4359395,-,W3110,dcuA,core,44
-6,dtpC,a99aee7d8774ee1318b35b64abeb3eab_8575,CDS,4359632,4361089,-,W3110,dcuA,core,44
-5,cadA,a99aee7d8774ee1318b35b64abeb3eab_8577,CDS,4361148,4363295,-,W3110,dcuA,core,44
-4,cadB,a99aee7d8774ee1318b35b64abeb3eab_8579,CDS,4363375,4364709,-,W3110,dcuA,soft_core,43
-3,cadC,a99aee7d8774ee1318b35b64abeb3eab_8581,CDS,4365074,4366612,-,W3110,dcuA,core,44
-2,yjdC,a99aee7d8774ee1318b35b64abeb3eab_8586,CDS,4367411,4367986,-,W3110,dcuA,core,44
-1,dsbD,a99aee7d8774ee1318b35b64abeb3eab_8588,CDS,4368023,4369720,-,W3110,dcuA,core,44
0,cutA,a99aee7d8774ee1318b35b64abeb3eab_8590,CDS,4369696,4370034,-,W3110,dcuA,core,44
1,dcuA,a99aee7d8774ee1318b35b64abeb3eab_8592,CDS,4370150,4371453,-,W3110,dcuA,unknown,
2,aspA,a99aee7d8774ee1318b35b64abeb3eab_8594,CDS,4371571,4373007,-,W3110,dcuA,core,44
3,fxsA,a99aee7d8774ee1318b35b64abeb3eab_8596,CDS,4373344,4373820,+,W3110,dcuA,core,44
4,yjeH,a99aee7d8774ee1318b35b64abeb3eab_8598,CDS,4373836,4375092,-,W3110,dcuA,core,44
5,groS,a99aee7d8774ee1318b35b64abeb3eab_8600,CDS,4375368,4375661,+,W3110,dcuA,core,44
6,groL,a99aee7d8774ee1318b35b64abeb3eab_8602,CDS,4375705,4377351,+,W3110,dcuA,core,44
7,yjeI,a99aee7d8774ee1318b35b64abeb3eab_8604,CDS,4377489,4377842,+,W3110,dcuA,core,44
8,yjeJ,a99aee7d8774ee1318b35b64abeb3eab_8606,CDS,4378045,4378914,-,W3110,dcuA,core,44
9,epmB,a99aee7d8774ee1318b35b64abeb3eab_8608,CDS,4379309,4380337,-,W3110,dcuA,core,44
-9,dacA,ECOR8_01578,CDS,64424,65707,+,ECOR8_PROKKA,dcuD,core,44
-8,,ECOR8_01579,CDS,65817,66080,+,ECOR8_PROKKA,dcuD,core,44
-7,lipB,ECOR8_01580,CDS,66181,66822,+,ECOR8_PROKKA,dcuD,core,44
-6,ybdO_1,ECOR8_01581,CDS,67081,68034,+,ECOR8_PROKKA,dcuD,non_core,18
-5,lipA,ECOR8_01582,CDS,68243,69208,+,ECOR8_PROKKA,dcuD,core,44
-4,tatE,ECOR8_01583,CDS,69309,69512,-,ECOR8_PROKKA,dcuD,core,44
-3,ybeM_1,ECOR8_01584,CDS,69641,70204,-,ECOR8_PROKKA,dcuD,non_core,40
-2,ybeM_2,ECOR8_01585,CDS,70201,70428,-,ECOR8_PROKKA,dcuD,non_core,4
-1,crcB,ECOR8_01586,CDS,70521,70904,+,ECOR8_PROKKA,dcuD,core,44
0,cspE,ECOR8_01587,CDS,70958,71167,-,ECOR8_PROKKA,dcuD,core,44
1,pagP,ECOR8_01588,CDS,71342,71902,-,ECOR8_PROKKA,dcuD,core,44
2,dcuD_2,ECOR8_01589,CDS,72491,73876,+,ECOR8_PROKKA,dcuD,non_core,2
3,dpiA,ECOR8_01590,CDS,73917,74597,-,ECOR8_PROKKA,dcuD,core,44
4,dpiB,ECOR8_01591,CDS,74566,76224,-,ECOR8_PROKKA,dcuD,core,44
5,,ECOR8_01592,CDS,76831,77130,-,ECOR8_PROKKA,dcuD,non_core,1
6,lon_2,ECOR8_01593,CDS,176,2530,+,ECOR8_PROKKA,dcuD,core,44
7,hupB,ECOR8_01594,CDS,2739,3011,+,ECOR8_PROKKA,dcuD,core,44
8,ppiD,ECOR8_01595,CDS,3203,5074,+,ECOR8_PROKKA,dcuD,core,44
9,,ECOR8_01596,CDS,5225,5596,+,ECOR8_PROKKA,dcuD,core,44
-9,ygiM,2b84de5415a5ca9477dbe99a5510e5bf_7143,CDS,3652730,3653350,+,CFT073,dnaG,core,44
-8,cca,2b84de5415a5ca9477dbe99a5510e5bf_7145,CDS,3653414,3654652,+,CFT073,dnaG,core,44
-7,bacA,2b84de5415a5ca9477dbe99a5510e5bf_7147,CDS,3654732,3655553,-,CFT073,dnaG,core,44
-6,folB,2b84de5415a5ca9477dbe99a5510e5bf_7149,CDS,3655644,3656012,-,CFT073,dnaG,core,44
-5,plsY,2b84de5415a5ca9477dbe99a5510e5bf_7151,CDS,3656117,3656734,+,CFT073,dnaG,core,44
-4,ttdR,2b84de5415a5ca9477dbe99a5510e5bf_7153,CDS,3656747,3657679,-,CFT073,dnaG,core,44
-3,ttdA,2b84de5415a5ca9477dbe99a5510e5bf_7155,CDS,3657886,3658797,+,CFT073,dnaG,core,44
-2,ttdB,2b84de5415a5ca9477dbe99a5510e5bf_7157,CDS,3658794,3659399,+,CFT073,dnaG,core,44
-1,ttdT,2b84de5415a5ca9477dbe99a5510e5bf_7159,CDS,3659447,3660910,+,CFT073,dnaG,core,44
0,tsaD,2b84de5415a5ca9477dbe99a5510e5bf_7161,CDS,3660953,3661966,-,CFT073,dnaG,core,44
1,rpsU,2b84de5415a5ca9477dbe99a5510e5bf_7163,CDS,3662204,3662419,+,CFT073,dnaG,core,44
2,dnaG,2b84de5415a5ca9477dbe99a5510e5bf_7165,CDS,3662530,3664274,+,CFT073,dnaG,unknown,
3,rpoD,2b84de5415a5ca9477dbe99a5510e5bf_7167,CDS,3664469,3666310,+,CFT073,dnaG,core,44
4,mug,2b84de5415a5ca9477dbe99a5510e5bf_7169,CDS,3666388,3666894,-,CFT073,dnaG,core,44
5,nfeF,2b84de5415a5ca9477dbe99a5510e5bf_7174,CDS,3667148,3667912,-,CFT073,dnaG,core,44
6,nfeR,2b84de5415a5ca9477dbe99a5510e5bf_7176,CDS,3668200,3668823,+,CFT073,dnaG,core,44
7,aer,2b84de5415a5ca9477dbe99a5510e5bf_7178,CDS,3668977,3670497,-,CFT073,dnaG,non_core,5
8,ygjG,2b84de5415a5ca9477dbe99a5510e5bf_7180,CDS,3670915,3672294,+,CFT073,dnaG,core,44
9,ygjH,2b84de5415a5ca9477dbe99a5510e5bf_7182,CDS,3672336,3672668,-,CFT073,dnaG,core,44
-9,ydfI,ECOR11_02087,CDS,10204,11664,+,ECOR11_PROKKA,eamA,core,44
